Age,Male,Female
1,0.000411,0.000320
2,0.000302,0.000224
3,0.000223,0.000150
4,0.000170,0.000125
5,0.000160,0.000123
6,0.000141,0.000111
7,0.000124,0.000102
8,0.000108,0.000097
9,0.000092,0.000096
10,0.000085,0.000098
11,0.000095,0.000106
12,0.000135,0.000121
13,0.000210,0.000146
14,0.000315,0.000177
15,0.000432,0.000214
16,0.000551,0.000253
17,0.000679,0.000292
18,0.000812,0.000329
19,0.000945,0.000365
20,0.001082,0.000402
21,0.001215,0.000441
22,0.001328,0.000481
23,0.001414,0.000521
24,0.001477,0.000560
25,0.001532,0.000598
26,0.001586,0.000635
27,0.001635,0.000675
28,0.001682,0.000718
29,0.001732,0.000766
30,0.001781,0.000818
31,0.001831,0.000873
32,0.001890,0.000929
33,0.001959,0.000984
34,0.002034,0.001038
35,0.002122,0.001097
36,0.002211,0.001161
37,0.002288,0.001220
38,0.002349,0.001274
39,0.002404,0.001331
40,0.002471,0.001397
41,0.002568,0.001481
42,0.002703,0.001586
43,0.002880,0.001711
44,0.003089,0.001851
45,0.003323,0.002004
46,0.003578,0.002170
47,0.003857,0.002351
48,0.0041693,0.0025540
49,0.0045252,0.0027848
50,0.004907,0.003032
51,0.005336,0.003305
52,0.005852,0.003622
53,0.006459,0.003982
54,0.007123,0.004366
55,0.007796,0.004757
56,0.008467,0.005148
57,0.009168,0.005546
58,0.009919,0.005958
59,0.010727,0.006396
60,0.011601,0.006873
61,0.012509,0.007381
62,0.013422,0.007911
63,0.014321,0.008461
64,0.015232,0.009049
65,0.016208,0.009685
66,0.017365,0.010440
67,0.018572,0.011299
68,0.019861,0.012312
69,0.021324,0.013483
70,0.022801,0.014840
71,0.024393,0.016210
72,0.026802,0.018115
73,0.029033,0.019832
74,0.031891,0.021983
75,0.034921,0.024219
76,0.038705,0.026988
77,0.042842,0.029990
78,0.046958,0.033406
79,0.051885,0.037198
80,0.057269,0.041430
81,0.063668,0.046705
82,0.070811,0.052609
83,0.078712,0.059120
84,0.089036,0.067221
85,0.099174,0.075616
86,0.110580,0.083464
87,0.124795,0.094954
88,0.140547,0.107839
89,0.157930,0.122237
90,0.177019,0.138259
91,0.197874,0.156007
92,0.220527,0.175570
93,0.244982,0.197014
94,0.271205,0.220376
95,0.299122,0.245662
96,0.328618,0.272833
97,0.359530,0.301807
98,0.391654,0.332451
99,0.424745,0.364582
100,0.503108,0.449651
